suburb,postcode,incidents_recorded_2014_2023,suburb_id
Carlton,3053,17054,3
Carlton North,3054,4203,2
Docklands,3008,19452,8
East Melbourne,3002,7658,11
Fitzroy,3065,20354,17
Flemington,3031,9542,5
Kensington,3031,7531,6
Melbourne,3000,124874,12
Melbourne,3004,25246,13
North Melbourne,3051,13010,4
Parkville,3052,6227,1
Port Melbourne,3207,15850,15
South Yarra,3141,21196,10
Southbank,3006,25729,9
West Melbourne,3003,8329,7
