suburb,postcode,incidents_recorded_2014_2023
Bonnie Brook,3335,657
Bonnie Doon,3720,298
Bonshaw,3352,220
Bookaar,3260,92
Boola,3825,6
Boolarong,3960,1
Boolarra,3870,296
Boolarra South,3870,35
Boole Poole,3880,3
Boolite,3392,4
Boomahnoomoonah,3728,5
Boonah,3235,10
Boorcan,3265,44
Boorhaman,3678,21
Boorhaman East,3678,2
Boorhaman North,3685,16
Boorolite,3723,39
Boorool,3953,5
Boort,3537,171
Boosey,3730,26
Boralma,3682,29
Bornes Hill,3379,2
Boronia,3155,15077
Borung,3518,43
Bostocks Creek,3260,20
Botanic Ridge,3977,1081
Boundary Bend,3599,69
Bowenvale,3465,86
Boweya,3675,14
Boweya North,3675,7
Bowmans Forest,3735,6
Bowser,3678,23
Box Hill,3128,11716
Box Hill North,3129,3076
Box Hill South,3128,3343
Boxwood,3725,2
Bradford,3463,2
Bradvale,3361,8
Braeside,3195,1837
Brandy Creek,3821,27
Branxholme,3302,106
Bravington,3821,3
Braybrook,3019,10744
Breakaway Creek,3303,18
Breakwater,3219,1521
Breamlea,3227,72
Brenanah,3517,10
Brewster,3352,18
Briagolong,3860,285
Briar Hill,3088,775
Bridge Creek,3723,21
Bridgewater,3516,110
Bridgewater North,3516,6
Bridgewater On Loddon,3516,196
Bright,3741,729
Brighton,3186,9653
Brighton East,3187,4799
Brighton East,3188,13
Brim,3391,92
Brimboal,3312,1
Brimin,3685,48
Brimpaen,3401,20
Bringalbert,3319,6
Brit Brit,3315,11
Broadford,3658,2469
Broadmeadows,3047,26450
Broadmeadows,3049,2
Broadwater,3301,15
Brodribb River,3888,26
Broken Creek,3673,9
Bromley,3472,22
Brookfield,3338,3471
Brooklyn,3012,2618
Brookville,3896,6
Broomfield,3364,36
Broughton,3418,3
Brown Hill,3350,1252
Browns Plains,3685,35
Bruarong,3749,23
Brucknell,3268,12
Brunswick,3056,22893
Brunswick East,3056,412
Brunswick East,3057,7422
Brunswick West,3055,7808
Bruthen,3885,261
Buangor,3375,92
Buchan,3885,103
Buchan South,3885,40
Buckland,3740,32
Buckley,3240,34
Buckley Swamp,3301,3
Buckrabanyule,3525,15
Budgeree,3870,32
Budgerum East,3579,2
Buffalo,3958,57
Buffalo River,3737,63
Bulart,3314,11
Buldah,3890,1
Bulga,3586,5
Bulgana,3377,11
Bulla,3428,632
Bullaharre,3266,3
Bullarook,3352,52
Bullarto,3461,17
Bullarto South,3461,9
Bulleen,3105,3468
Bulleen,3108,28
Bullengarook,3437,184
Bullioh,3700,7
Bullumwaal,3875,22
Buln Buln,3821,116
Buln Buln East,3821,29
Bumberrah,3902,40
Bunbartha,3634,88
Bundalaguah,3851,49
Bundalong,3730,143
Bundalong South,3730,12
Bunding,3342,17
Bundoora,3083,17251
Bung Bong,3465,11
Bungador,3260,18
Bungal,3334,18
Bungalally,3401,47
Bungaree,3352,137
Bungeet,3726,8
Bungeet West,3726,13
Bungil,3691,5
Bunguluke,3527,7
Buninyong,3357,1112
Bunkers Hill,3352,69
Bunyip,3815,754
Bunyip North,3815,44
Buragwonduc,3858,2
Burkes Bridge,3568,2
Burkes Flat,3475,9
Burnbank,3371,15
Burnewang,3558,67
Burnley,3121,1198
Burnside,3023,1802
Burnside Heights,3023,1522
Burramboot,3559,21
Burramine,3730,111
Burramine South,3730,7
Burrowye,3709,7
Burrumbeet,3352,191
Burwood,3125,6563
Burwood East,3151,4620
Bushfield,3281,62
Bushy Park,3860,9
Buxton,3711,166
Byaduk,3301,14
Byaduk North,3300,11
Byawatha,3678,39
Bylands,3762,76
Byrneside,3617,112
Cabarita,3505,102
Cabbage Tree,3364,12
Cabbage Tree Creek,3889,24
Cadello,3442,15
Cairnlea,3023,3807
Calder Park,3037,380
Caldermeade,3984,290
California Gully,3556,3184
Calivil,3573,61
Callawadda,3387,4
Callignee,3844,60
Callignee North,3844,17
Callignee South,3844,3
Calrossie,3971,8
Calulu,3875,41
Cambarville,3779,16
Camberwell,3124,8924
Cambrian Hill,3352,63
Campbellfield,3061,10100
Campbells Bridge,3387,6
Campbells Creek,3451,427
Campbells Forest,3556,35
Campbelltown,3364,25
Camperdown,3260,1564
Canadian,3350,1620
Canary Island,3537,1
Caniambo,3630,36
Cann River,3890,320
Cannie,3540,6
Cannons Creek,3977,176
Cannum,3393,9
Canterbury,3103,5
Canterbury,3126,1866
Cape Bridgewater,3305,48
Cape Clear,3351,56
Cape Conran,3888,21
Cape Otway,3233,36
Cape Paterson,3995,461
Cape Schanck,3939,144
Cape Woolamai,3925,628
Capel Sound,3940,3123
Capels Crossing,3579,19
Carag Carag,3623,39
Caralulup,3371,5
Caramut,3274,89
Carapooee,3477,31
Carapooee West,3477,30
Carapook,3312,12
Carboor,3678,24
Cardigan,3352,258
Cardigan Village,3352,150
Cardinia,3978,264
Cardross,3496,254
Cargerie,3334,12
Carina,3512,1
Caringal,3825,15
Carisbrook,3464,545
Carlisle River,3239,42
Carlsruhe,3442,203
Carlton,3000,176
Carlton,3053,17054
Carlton North,3054,4203
Carlyle,3685,16
Carnegie,3163,6814
Carngham,3351,39
Caroline Springs,3023,8848
Carpendeit,3260,46
Carrajung,3844,50
Carrajung Lower,3844,71
Carrajung South,3844,26
Carranballac,3361,21
Carron,3480,2
Carrum,3197,3031
Carrum Downs,3201,13342
Carwarp,3494,80
Cashmore,3305,57
Cassilis,3898,7
Castella,3777,56
Casterton,3311,633
Castle Creek,3691,3
Castle Donnington,3585,55
Castlemaine,3450,4615
Catani,3981,97
Cathcart,3377,26
Cathkin,3714,13
Caulfield,3162,2736
Caulfield East,3145,2773
Caulfield North,3161,5669
Caulfield South,3162,3716
Caveat,3660,17
Cavendish,3314,59
Ceres,3221,81
Chadstone,3148,6191
Chadstone,3166,1
Chandlers Creek,3890,7
Chapel Flat,3352,6
Chapple Vale,3239,13
Charam,3318,1
Charlemont,3217,452
Charleroi,3695,10
Charlton,3525,392
Chatsworth,3379,3
Chelsea,3196,4536
Chelsea Heights,3196,2339
Cheltenham,3192,14686
Chepstowe,3351,24
Cherokee,3434,14
Cherrypool,3401,4
Cheshunt,3678,55
Cheshunt South,3678,1
Chesney Vale,3725,23
Chetwynd,3312,38
Chewton,3451,177
Chewton Bushlands,3451,8
Childers,3824,26
Chillingollah,3585,10
Chiltern,3683,483
Chiltern Valley,3683,19
Chinangin,3544,2
Chinkapook,3546,21
Chintin,3756,15
Chirnside Park,3116,4755
Chocolyn,3260,11
Christmas Hills,3775,106
Chum Creek,3777,143
Churchill,3842,4285
Churchill Island,3925,4
Chute,3373,5
Clarendon,3352,36
Claretown,3352,21
Clarinda,3169,2195
Clarkefield,3430,208
Clarkes Hill,3352,20
Clayton,3168,13014
Clayton South,3169,6241
Clear Lake,3409,22
Clematis,3782,82
Clifton Creek,3875,44
Clifton Hill,3066,191
Clifton Hill,3067,47
Clifton Hill,3068,4538
Clifton Springs,3222,1379
Clonbinane,3658,237
Clover Flat,3315,2
Cloverlea,3822,45
Club Terrace,3889,64
Clunes,3370,607
Clyde,3978,2883
Clyde North,3978,6828
Clydebank,3851,56
Clydesdale,3461,12
Coalville,3825,27
Cobains,3851,70
Cobaw,3442,14
Cobbannah,3862,8
Cobberas,3900,7
Cobblebank,3338,1186
Cobden,3266,580
Cobram,3644,4862
Cobram East,3644,100
Cobrico,3266,14
Cobungra,3898,20
Coburg,3058,19199
Coburg North,3058,7678
Cocamba,3546,1
Cochranes Creek,3475,12
Cockatoo,3781,1237
Cocoroc,3030,55
Codrington,3285,12
Coghills Creek,3364,21
Cohuna,3568,964
Coimadai,3340,153
Cokum,3530,5
Colac,3250,8275
Colac Colac,3707,7
Colac East,3250,164
Colac West,3250,158
Colbinabbin,3559,71
Colbrook,3342,6
Coldstream,3770,716
Coleraine,3315,472
Colignan,3494,118
Collingwood,3066,16984
