suburb,postcode,incidents_recorded_2014_2023
Humevale,3757,91
Hunter,3558,10
Hunterston,3971,4
Huntingdale,3166,1147
Huntly,3551,990
Huntly North,3551,43
Huon,3695,49
Huon Creek,3691,19
Hurstbridge,3099,975
Icy Creek,3833,10
Iguana Creek,3875,5
Illabarook,3351,8
Illawarra,3381,37
Illowa,3282,57
Indented Head,3223,340
Indigo Valley,3688,32
Inglewood,3517,413
Ingliston,3342,47
Invergordon,3636,173
Inverleigh,3321,241
Inverloch,3996,1805
Invermay,3352,225
Invermay Park,3350,544
Iona,3815,79
Iraak,3494,50
Irishtown,3451,5
Ironbark,3550,894
Irrewarra,3249,104
Irrewillipe,3249,39
Irrewillipe East,3249,14
Irymple,3498,2215
Ivanhoe,3079,6667
Ivanhoe East,3079,975
Ivanhoe East,3084,25
Jacana,3047,2334
Jack River,3971,40
Jackass Flat,3556,564
Jacob Creek,3825,36
Jam Jerrup,3984,51
Jamieson,3723,139
Jan Juc,3228,808
Jancourt,3266,12
Jancourt East,3266,50
Jarklin,3517,20
Jarrahmond,3888,24
Jarvis Creek,3700,7
Jeeralang,3840,22
Jeeralang Junction,3840,104
Jeetho,3945,43
Jeffcott,3480,2
Jeffcott North,3480,5
Jeparit,3423,274
Jericho,3825,1
Jil Jil,3483,1
Jindivick,3818,181
Joel Joel,3384,11
Joel South,3384,4
Johanna,3238,20
Johnsonville,3902,94
Joyces Creek,3364,12
Jumbuk,3869,5
Jumbunna,3951,27
Junction Village,3977,318
Junortoun,3551,408
Kaarimba,3635,59
Kadnook,3318,11
Kalimna,3909,444
Kalimna West,3909,130
Kalkallo,3064,1521
Kalkee,3401,30
Kallista,3791,194
Kalorama,3766,286
Kalpienung,3529,2
Kamarooka,3570,63
Kanagulk,3401,7
Kancoona,3691,10
Kangaroo Flat,3555,8188
Kangaroo Ground,3097,212
Kaniva,3419,364
Kanumbra,3719,16
Kanya,3387,2
Kanyapella,3564,41
Karabeal,3294,5
Kardella,3951,11
Kardella South,3950,19
Kariah,3260,39
Karnak,3401,3
Karramomus,3631,21
Karyrie,3483,5
Katamatite,3649,179
Katamatite East,3649,26
Katandra,3634,12
Katandra West,3634,118
Katunga,3640,238
Kawarren,3249,61
Kealba,3021,2326
Keely,3568,13
Keilor,3036,2400
Keilor Downs,3038,4561
Keilor East,3033,5119
Keilor East,3042,3
Keilor Lodge,3038,363
Keilor North,3036,372
Keilor Park,3042,2036
Kellalac,3393,14
Kelvin View,3666,8
Kenley,3597,9
Kennedys Creek,3239,9
Kennett River,3234,28
Kennington,3550,2740
Kensington,3031,7531
Kerang,3579,3146
Kerang East,3579,13
Kergunyah,3691,39
Kergunyah South,3691,6
Kernot,3979,33
Kerrie,3434,41
Kerrisdale,3660,49
Kevington,3723,47
Kew,3101,10495
Kew East,3102,1956
Kewell,3390,24
Keysborough,3173,12452
Kialla,3631,2887
Kialla East,3631,58
Kialla West,3631,149
Kiata,3418,70
Kiewa,3691,78
Kilcunda,3995,151
Killara,3312,10
Killara,3691,177
Killarney,3283,86
Killawarra,3678,55
Killingworth,3717,20
Kilmany,3851,86
Kilmore,3764,4020
Kilmore East,3764,216
Kilsyth,3137,4533
Kilsyth South,3137,892
Kimbolton,3551,66
King Valley,3678,15
Kinglake,3763,517
Kinglake Central,3757,100
Kinglake West,3757,369
Kingower,3517,22
Kings Park,3021,3721
Kingsbury,3083,2755
Kingston,3364,42
Kingsville,3012,1511
Kinnabulla,3483,13
Kinypanial,3520,2
Kirkstall,3283,87
Kirwans Bridge,3608,26
Kithbrook,3666,13
Knebsworth,3286,4
Knockwood,3723,22
Knowsley,3523,112
Knoxfield,3180,3729
Koallah,3260,4
Koetong,3704,23
Kolora,3265,32
Kongwak,3951,58
Konongwootong,3315,6
Koo Wee Rup,3981,1482
Koo Wee Rup North,3981,25
Kooloonong,3597,4
Koonda,3669,3
Koondrook,3580,277
Koonoomoo,3644,392
Koonwarra,3954,94
Kooreh,3477,22
Koorlong,3501,123
Koornalla,3844,35
Kooroocheang,3364,4
Koorool,3860,1
Koorooman,3953,13
Kooyong,3144,633
Koriella,3714,11
Korobeit,3341,9
Koroit,3282,604
Korong Vale,3520,157
Koroop,3579,11
Korumburra,3950,2807
Korumburra South,3950,26
Korweinguboora,3461,43
Kotta,3565,31
Kotupna,3638,75
Koyuga,3622,130
Krowera,3945,23
Kulwin,3490,10
Kunat,3585,5
Kurraca West,3518,1
Kurting,3517,33
Kurunjang,3337,4404
Kyabram,3620,4378
Kyabram South,3620,34
Kyneton,3444,3706
Kyneton South,3444,21
Kyvalley,3621,93
Laanecoorie,3463,79
Laang,3265,18
Labertouche,3816,198
Laceby,3678,64
Ladys Pass,3523,23
Laen East,3480,2
Laen North,3480,3
Lah,3393,8
Laharum,3401,59
Lake Boga,3584,314
Lake Bolac,3351,163
Lake Bunga,3909,96
Lake Charm,3581,53
Lake Condah,3303,3
Lake Eildon,3713,34
Lake Eppalock,3523,10
Lake Eppalock,3551,3
Lake Fyans,3381,19
Lake Gardens,3355,664
Lake Goldsmith,3373,39
Lake Lonsdale,3381,24
Lake Marmal,3525,4
Lake Meran,3579,8
Lake Mundi,3312,27
Lake Powell,3597,24
Lake Rowan,3727,21
Lake Tyers,3887,192
Lake Tyers Beach,3909,209
Lake Tyrrell,3533,1
Lake Wendouree,3350,1850
Lake Wongan,3373,1
Lakes Entrance,3909,6077
Lal Lal,3352,140
Lalbert,3542,34
Lalor,3075,10228
Lamplough,3352,30
Lancaster,3620,123
Lance Creek,3995,15
Lancefield,3435,864
Landsborough,3384,87
Landsborough West,3384,6
Lang Lang,3984,1077
Lang Lang East,3984,19
Langdons Hill,3363,6
Langi Kal Kal,3352,22
Langi Logan,3377,7
Langkoop,3318,7
Langley,3444,34
Langsborough,3971,57
Langwarrin,3910,7311
Langwarrin South,3911,326
Lara,3212,6752
Lardner,3821,233
Larpent,3249,43
Lascelles,3487,41
Launching Place,3139,633
Lauriston,3444,41
Lavers Hill,3238,47
Laverton,3028,5408
Laverton North,3026,4839
Lawler,3480,2
Lawloit,3418,15
Lawrence,3364,11
Leaghur,3537,2
Learmonth,3352,115
Ledcourt,3385,21
Leichardt,3516,24
Leigh Creek,3352,115
Leitchville,3567,191
Lemnos,3631,117
Leneva,3691,140
Leonards Hill,3461,11
Leongatha,3953,3120
Leongatha North,3953,19
Leongatha South,3953,113
Leopold,3224,3151
Lerderderg,3458,37
Leslie Manor,3260,8
Lethbridge,3332,173
Lexton,3352,308
Licola,3858,63
Licola North,3858,2
Lillico,3820,10
Lillicur,3371,17
Lillimur,3420,51
Lilliput,3682,7
Lilydale,3140,11043
Lima,3673,5
Lima East,3673,21
Lima South,3673,43
Limestone,3717,17
Lindenow,3865,140
Lindenow South,3875,126
Lindsay,3312,2
Lindsay Point,3496,7
Linga,3509,7
Linton,3360,165
Liparoo,3549,18
Lismore,3324,238
Litchfield,3480,6
Little Hampton,3458,20
Little River,3211,2048
Llanelly,3551,21
Llowalong,3862,7
Loch,3945,195
Loch Sport,3851,678
Loch Valley,3833,25
Lockington,3563,226
Locksley,3665,52
Lockwood,3551,175
Lockwood South,3551,149
Loddon Vale,3575,3
Logan,3475,19
Londrigan,3678,18
Long Forest,3340,123
Long Gully,3550,4179
Longerenong,3401,65
Longford,3851,403
Longlea,3551,76
Longwarry,3816,1443
Longwarry North,3816,333
Longwood,3665,62
Longwood East,3666,60
Lorne,3232,1024
Lorquon,3418,2
Lovely Banks,3213,1214
Lower Moira,3639,67
Lower Norton,3401,18
Lower Plenty,3093,1296
Loy Yang,3844,17
Lubeck,3385,13
Lucas,3350,775
Lucknow,3875,742
Lucyvale,3691,15
Lurg,3673,21
Lynbrook,3975,3460
Lyndhurst,3975,2768
Lyons,3304,7
Lyonville,3461,21
Lysterfield,3156,1754
Lysterfield South,3156,315
Macarthur,3286,101
Macclesfield,3782,190
Macedon,3440,874
Macks Creek,3971,12
Macleod,3085,3146
Macorna,3579,19
Macorna North,3568,4
Macs Cove,3723,32
Madalya,3971,9
Maddingley,3340,2124
Mafeking,3379,47
Maffra,3860,2614
Maffra West Upper,3859,21
Magpie,3352,143
Maiden Gully,3551,1032
Maidstone,3012,6507
Mailors Flat,3275,48
Main Lead,3373,10
Main Ridge,3928,102
Maindample,3723,68
Maintongoon,3714,13
Major Plains,3725,7
Majorca,3465,125
Maldon,3463,396
Mallacoota,3892,445
Malmsbury,3446,310
Malvern,3143,4
Malvern,3144,5454
Malvern East,3145,16439
Mambourin,3024,465
Manangatang,3546,190
Mandurang,3551,74
Mandurang South,3551,26
Mangalore,3663,127
Manifold Heights,3218,1255
Mannerim,3222,34
Mannibadar,3360,27
Manns Beach,3971,21
Manor Lakes,3024,3698
Manorina,3889,6
Mansfield,3722,2224
Maramingo Creek,3891,7
Marcus Hill,3222,50
Mardan,3953,20
Marengo,3233,46
Maribyrnong,3032,12600
Marionvale,3634,10
Markwood,3678,48
Marlbed,3483,1
Marlo,3888,198
Marnoo,3387,51
Marnoo East,3477,9
Marnoo West,3387,1
Marong,3515,356
Maroona,3377,40
Marraweeney,3669,12
Marshall,3216,903
Marungi,3634,45
Maryborough,3465,6453
Maryknoll,3812,56
Marysville,3779,231
Maryvale,3840,121
Massey,3482,1
Matlock,3723,12
Maude,3331,41
McCrae,3938,1107
McIntyre,3472,5
McKenzie Creek,3401,44
McKenzie Hill,3451,87
McKinnon,3204,1629
McLoughlins Beach,3874,51
McMahons Creek,3799,60
McMillans,3568,16
Mead,3568,26
Meadow Creek,3678,16
Meadow Heights,3048,8346
Meatian,3585,7
Meeniyan,3956,231
Meering West,3579,5
Meerlieu,3862,32
Melbourne,3000,124874
Melbourne,3004,25246
Melbourne,3052,3513
Melbourne,3181,28
Melbourne Airport,3045,4807
Melton,3337,14973
Melton South,3338,9976
Melton West,3337,7999
Melville Forest,3315,3
Melwood,3875,6
Mena Park,3373,11
Mentone,3194,6452
Menzies Creek,3159,210
Mepunga,3277,82
Mepunga East,3277,16
Mepunga West,3277,11
Merbein,3505,1899
Merbein South,3505,119
Merbein West,3505,54
Meredith,3333,327
Meringur,3496,22
Merino,3310,130
Mernda,3754,8668
Merriang,3737,17
Merriang South,3737,10
Merricks,3916,32
Merricks Beach,3926,29
Merricks North,3926,81
Merrigum,3618,300
Merrijig,3723,150
Merrijig,3875,2
Merrimu,3340,130
Merrinee,3496,30
Merton,3715,83
Metcalfe,3448,36
Metcalfe East,3444,7
Metung,3904,338
Mia Mia,3444,71
Mickleham,3064,4650
Middle Creek,3375,19
Middle Park,3206,2274
Middle Tarwin,3956,22
Miepoll,3666,105
Miga Lake,3409,8
Milawa,3678,82
Mildura,3500,41453
Mill Park,3082,14523
Millbrook,3352,50
Millgrove,3799,540
Milloo,3572,8
Milltown,3304,40
Milnes Bridge,3579,22
Mincha,3575,11
Mincha West,3568,18
Miners Rest,3352,875
Mingay,3324,5
Minhamite,3287,15
Minimay,3413,23
Mininera,3351,8
Minjah,3276,16
Minmindie,3537,4
Minyip,3392,186
Miowera,3862,1
Miram,3415,15
Mirboo,3871,66
Mirboo North,3871,771
Mirimbah,3723,4
Mirranatwa,3294,2
Mitcham,3132,6022
Mitchell Park,3355,799
Mitchellstown,3608,36
Mitiamo,3573,74
Mitre,3409,27
Mitta Mitta,3701,51
Mittyack,3490,6
Mockinya,3401,25
Modella,3816,55
Modewarre,3240,48
Moe,3825,15836
Moe South,3825,167
Moggs Creek,3231,12
Moglonemby,3666,1
Mokepilly,3381,4
Molesworth,3718,51
Moliagul,3472,42
Molka,3666,10
Mollongghip,3352,13
Mologa,3575,24
Molyullah,3673,42
Monbulk,3793,1094
Monegeetta,3433,76
Mongans Bridge,3691,6
Monomak,3860,3
Monomeith,3984,22
Mont Albert,3127,1833
Mont Albert North,3129,975
Montgomery,3851,21
Montmorency,3094,1952
Montrose,3765,1930
Moolap,3224,1653
Moolerr,3477,5
Moolort,3465,29
Moonambel,3478,44
Moondarra,3825,65
Moonee Ponds,3039,10838
Moonlight Flat,3450,3
Moonlight Flat,3465,11
Moora,3612,19
Moorabbin,3189,8471
Moorabbin Airport,3194,977
Moorabool,3213,79
Mooralla,3314,15
Moorilim,3610,15
Moormbool West,3523,14
Moornapa,3862,3
Moorngag,3673,8
Moorooduc,3933,708
Mooroolbark,3138,7897
Mooroopna,3629,7724
Mooroopna North,3629,215
Mooroopna North West,3616,13
Moranding,3764,39
Mordialloc,3195,6004
Morgiana,3301,1
Moriac,3240,129
Mornington,3931,15086
Moroka,3860,2
Morrisons,3334,38
Morrl Morrl,3387,3
Mortlake,3272,667
Morton Plains,3482,3
Morwell,3840,31762
Mossiface,3885,23
Mount Alfred,3709,9
Mount Beauty,3699,204
Mount Beckworth,3363,3
Mount Best,3960,14
Mount Bolton,3352,7
Mount Bruno,3675,12
Mount Buffalo,3740,15
Mount Buller,3723,21
Mount Burnett,3781,34
Mount Bute,3324,11
Mount Camel,3523,35
Mount Cameron,3370,3
Mount Clear,3350,1484
Mount Cole,3377,12
Mount Cole Creek,3377,3
Mount Cottrell,3024,667
Mount Dandenong,3767,412
Mount Doran,3334,25
Mount Dryden,3381,8
Mount Duneed,3217,1120
Mount Eccles,3953,13
Mount Egerton,3352,147
Mount Eliza,3930,3813
Mount Emu,3351,8
Mount Evelyn,3796,2640
Mount Franklin,3461,18
Mount Glasgow,3371,43
Mount Helen,3350,796
Mount Hooghly,3472,10
Mount Lonarch,3468,34
Mount Macedon,3441,277
Mount Major,3646,10
Mount Martha,3934,3337
Mount Mercer,3352,56
Mount Moriac,3240,199
Mount Napier,3301,1
Mount Pleasant,3350,1615
Mount Prospect,3364,12
Mount Richmond,3305,49
Mount Rowan,3352,115
Mount Sabine,3236,2
Mount Tassie,3844,5
Mount Taylor,3875,68
Mount Toolebewong,3777,19
Mount Wallace,3342,91
Mount Waverley,3149,11328
Mountain Bay,3723,11
Mountain View,3988,15
Moutajup,3294,19
Moyhu,3732,107
Moyreisk,3477,8
Moyston,3377,136
Muckatah,3644,73
Muckleford,3451,164
Muckleford South,3462,13
Mudgegonga,3737,9
Mulgrave,3170,10229
Mumbannar,3304,36
Mundoona,3635,15
Munro,3862,40
Muntham,3315,3
Murchison,3610,465
Murchison East,3610,210
Murchison North,3610,55
Murgheboluc,3218,23
Murmungee,3747,5
Murnungin,3544,4
Murphys Creek,3551,22
Murra Warra,3401,22
Murrabit,3579,70
Murrabit West,3579,22
Murrawee,3586,19
Murray-sunset,3490,2
Murraydale,3586,30
Murrayville,3512,129
Murrindal,3885,4
Murrindindi,3717,60
Murroon,3243,23
Murrumbeena,3163,3422
Murtoa,3390,419
Musk,3461,31
Musk Vale,3461,16
Muskerry,3557,37
Myall,3533,4
Myall,3579,17
Myamyn,3304,20
Myers Flat,3556,126
Myola,3551,5
Myrniong,3341,173
Myrrhee,3732,33
Myrtle Creek,3551,6
Myrtlebank,3851,71
Myrtleford,3737,1530
Mysia,3518,5
Mystic Park,3579,56
Mywee,3641,4
Nagambie,3608,1100
Nalangil,3249,18
Nalinga,3646,11
Nambrok,3847,110
Nandaly,3533,17
Nangana,3781,12
Nangeela,3312,3
Nangiloc,3494,67
Nanneella,3561,115
Napoleons,3352,157
Nar Nar Goon,3812,576
Nar Nar Goon North,3812,246
Narbethong,3778,149
Nareeb,3293,5
Nareen,3315,10
Nareewillock,3525,3
Nariel Valley,3707,26
Naring,3636,52
Naringal,3277,29
Naringal East,3277,32
Naroghid,3266,29
Narracan,3824,67
Narraport,3483,9
Narrawong,3285,119
Narre Warren,3805,21888
Narre Warren East,3804,167
Narre Warren North,3804,2579
Narre Warren South,3805,8939
Narrung,3597,5
Nathalia,3638,803
Natimuk,3409,97
Natte Yallock,3465,38
Natya,3597,5
Navarre,3384,39
Navigators,3352,79
Nayook,3832,31
Neds Corner,3496,9
Neereman,3463,3
Neerim,3831,69
Neerim East,3831,65
Neerim Junction,3832,35
Neerim North,3832,7
Neerim South,3831,426
Neilborough,3570,113
Nelson,3292,86
Nerrena,3953,33
Nerrin Nerrin,3351,10
Nerrina,3350,406
Nerring,3373,2
Netherby,3418,28
Neuarpurr,3413,3
New Gisborne,3438,578
Newborough,3825,5222
Newbridge,3551,83
Newbury,3458,20
Newcomb,3219,4862
Newfield,3268,5
Newham,3442,94
Newhaven,3925,304
Newington,3350,812
Newlands Arm,3875,133
Newlyn,3364,42
Newlyn North,3364,30
Newmerella,3886,184
Newport,3015,5706
Newry,3859,145
Newstead,3462,201
Newtown,3220,4626
Newtown,3351,31
Nhill,3418,890
Nichols Point,3501,457
Nicholson,3882,322
Niddrie,3042,2030
Nilma,3821,86
Nilma North,3821,53
Ninda,3533,4
Nine Mile,3518,2
Nintingbool,3351,18
Ninyeunook,3527,2
Nirranda,3268,29
Nirranda East,3268,3
Nirranda South,3268,14
Noble Park,3174,20007
Noble Park North,3174,3825
Noojee,3833,193
Noorat,3265,78
Noorat East,3265,6
Noorinbee,3890,23
Noorinbee North,3890,10
Noradjuha,3409,29
Norlane,3214,15042
Normanville,3579,9
Norong,3682,27
North Bendigo,3550,2612
North Blackwood,3458,6
North Geelong,3215,5321
North Melbourne,3051,13010
North Shore,3214,885
North Wangaratta,3678,135
North Warrandyte,3113,267
North Wonthaggi,3995,1304
Northcote,3070,14899
Northwood,3660,69
Norval,3377,11
Notting Hill,3168,1586
Nowa Nowa,3887,190
Nowhere Creek,3469,2
Nowie,3585,15
Nug Nug,3737,16
Nuggetty,3463,11
Nulla Vale,3435,61
Nullawarre,3268,54
Nullawarre North,3268,12
Nullawil,3529,24
Numurkah,3636,2351
Nunawading,3131,4959
Nungurner,3909,67
Nunniong,3896,12
Nurcoung,3401,6
Nurrabiel,3401,16
Nurran,3888,1
Nutfield,3099,129
Nyah,3594,197
Nyah West,3595,383
Nyarrin,3533,1
Nyerimilang,3909,9
Nyora,3987,412
Nyrraby,3585,4
Oak Park,3046,2126
Oaklands Junction,3063,192
Oakleigh,3166,9026
Oakleigh East,3166,2572
Oakleigh South,3167,3790
Oakvale,3540,2
Ocean Grange,3880,7
Ocean Grove,3226,3649
Officer,3809,5708
Officer South,3809,172
Old Tallangatta,3701,1
Olinda,3788,608
Ombersley,3241,20
Omeo,3898,187
Omeo Valley,3898,11
Ondit,3249,45
Orbost,3888,2096
Orford,3284,18
Ormond,3204,2457
Orrvale,3631,351
Osbornes Flat,3691,13
Outtrim,3951,61
Ouyen,3490,577
Ovens,3738,43
Oxley,3678,91
Oxley Flats,3678,14
Ozenkadnook,3413,1
Paaratte,3268,17
Painswick,3551,2
Pakenham,3810,27671
Pakenham South,3810,166
Pakenham Upper,3810,376
Panitya,3512,12
Panmure,3265,131
Panton Hill,3759,146
Paradise,3477,24
Paradise Beach,3851,92
Paraparap,3240,38
Park Orchards,3114,641
Parkdale,3195,3979
Parkville,3052,6227
Parwan,3340,230
Paschendale,3315,3
Pascoe Vale,3044,7475
Pascoe Vale South,3044,3850
Pastoria,3444,9
Pastoria East,3444,6
Patchewollock,3491,57
Patho,3564,70
Patterson Lakes,3197,3716
Patyah,3318,2
Paynesville,3880,1359
Pearcedale,3912,1089
Pearsondale,3851,42
Peechelba,3678,33
Peechelba East,3678,8
Pelluebla,3727,6
Pennyroyal,3235,6
Penshurst,3289,192
Pental Island,3586,33
Pentland Hills,3341,144
Percydale,3478,28
Peronne,3413,3
Perry Bridge,3862,38
Peterborough,3270,94
Pheasant Creek,3757,76
Piangil,3597,78
Picola,3639,113
Picola West,3639,2
Piedmont,3833,23
Pier Milan,3533,7
Pigeon Ponds,3407,2
Piggoreet,3351,2
Pimpinio,3401,91
Pine Grove,3573,17
Pine Lodge,3631,78
Pine Mountain,3709,2
Pioneer Bay,3984,153
Pipers Creek,3444,13
Pira,3585,7
Piries,3723,25
Pirron Yallock,3249,45
Pitfield,3351,12
Pittong,3360,9
Plenty,3090,798
Plumpton,3335,79
Point Cook,3030,16393
Point Leo,3916,48
Point Lonsdale,3225,670
Point Wilson,3212,75
Pomborneit,3260,39
Pomborneit East,3249,15
Pomborneit North,3260,13
Pomonal,3381,47
Pompapiel,3571,19
Poolaijelo,3312,5
Pootilla,3352,44
Poowong,3988,177
Poowong East,3988,28
Poowong North,3988,40
Porcupine Ridge,3461,16
Porepunkah,3740,218
Port Albert,3971,198
Port Campbell,3269,200
Port Fairy,3284,1159
Port Franklin,3964,28
Port Melbourne,3207,15850
Port Welshpool,3965,137
Portarlington,3223,1463
Portland,3305,8608
Portland North,3305,151
Portland West,3305,107
Portsea,3944,527
Pound Creek,3996,24
Powelltown,3797,83
Powlett Plains,3517,12
Prahran,3143,4
Prahran,3181,19385
Prairie,3572,17
Pranjip,3666,9
Preston,3072,38972
Princes Hill,3054,1530
Princetown,3269,112
Puckapunyal,3662,141
Pura Pura,3271,12
Purnim,3278,80
Purnim West,3278,7
Pyalong,3521,302
Pyramid Hill,3575,275
Quambatook,3540,109
Quandong,3030,61
Quantong,3401,37
Quarry Hill,3550,1156
Queenscliff,3225,574
Raglan,3373,107
Rainbow,3424,170
Ranceby,3951,14
Rathscar,3465,17
Rathscar West,3465,5
Ravenhall,3023,3008
Ravenswood,3453,242
Ravenswood South,3453,72
Rawson,3825,142
Raymond Island,3880,94
Raywood,3570,105
Red Cliffs,3496,2551
Red Hill,3937,214
Red Hill South,3937,105
Red Lion,3371,44
Redan,3350,3202
Redbank,3477,42
Redcastle,3523,44
Redesdale,3444,113
Reedy Creek,3658,54
Reedy Dam,3395,5
Reedy Flat,3895,1
Reedy Lake,3579,23
Reefton,3799,52
Research,3095,516
Reservoir,3073,34183
Rheola,3517,29
Rhyll,3923,154
Rhymney,3377,10
Riachella,3385,2
Rich Avon East,3480,2
Rich Avon West,3480,5
Richmond,3121,31258
Richmond Plains,3518,1
Riddells Creek,3431,914
Riggs Creek,3666,8
Ringwood,3134,24170
Ringwood East,3135,4754
Ringwood North,3134,1765
Ripplebrook,3818,71
Rippleside,3215,754
Ripponlea,3185,899
Riverside,3401,66
Riverslea,3860,39
Robertsons Beach,3971,66
Robinvale,3549,2795
Rochester,3561,1595
Rochford,3442,36
Rockbank,3335,1401
Rocklands,3401,7
Rocklyn,3364,7
Rocky Point,3377,2
Rokeby,3821,41
Rokewood,3330,131
Rokewood Junction,3351,26
Romsey,3434,1407
Rosanna,3084,2659
Rose River,3678,21
Rosebery,3395,3
Rosebrook,3285,22
Rosebud,3939,11278
Rosedale,3847,1419
Roses Gap,3385,3
Rosewhite,3737,13
Roslynmead,3564,13
Ross Creek,3351,174
Rossbridge,3377,8
Rowsley,3340,90
Rowville,3178,12369
Roxburgh Park,3064,9658
Rubicon,3712,46
Ruby,3953,40
Ruffy,3666,13
Running Creek,3691,5
Runnymede,3558,27
Rupanyup,3388,217
Rushworth,3612,788
Russells Bridge,3331,11
Rutherglen,3685,823
Ryanston,3992,34
Rye,3941,5006
Rythdale,3810,13
Safety Beach,3936,1659
Sailors Falls,3461,20
Sailors Gully,3556,216
Sailors Hill,3461,20
Sale,3850,15743
Salisbury West,3517,23
Samaria,3673,21
San Remo,3925,657
Sandford,3312,50
Sandhill Lake,3579,4
Sandhurst,3977,788
Sandon,3462,15
Sandringham,3191,4790
Sandy Creek,3695,44
Sandy Point,3959,89
Sarsfield,3875,122
Sassafras,3154,4
Sassafras,3787,227
Sawmill Settlement,3723,26
Scarsdale,3351,213
Scoresby,3179,3415
Scotchmans Lead,3352,6
Scotsburn,3352,68
Scotts Creek,3267,58
Sea Lake,3533,207
Seabrook,3028,1488
Seacombe,3851,17
Seaford,3198,15107
Seaholme,3018,755
Seaspray,3851,252
Seaton,3858,47
Seaview,3821,18
Sebastian,3556,93
Sebastopol,3356,8604
Seddon,3011,2142
Sedgwick,3551,65
Selby,3159,268
Selwyn,3737,7
Separation Creek,3234,11
Serpentine,3517,162
Serviceton,3420,58
Seville,3139,784
Seville East,3139,176
Seymour,3660,8905
Shady Creek,3821,79
She Oaks,3331,28
Sheans Creek,3666,3
Sheep Hills,3392,13
Shelbourne,3515,80
Shelford,3329,65
Shelley,3701,8
Shepherds Flat,3461,53
Shepparton,3630,41216
Shepparton East,3631,480
Shepparton North,3631,472
Sherbrooke,3789,91
Shoreham,3916,131
Silvan,3795,411
Silverleaves,3922,69
Simpson,3266,112
Simpsons Creek,3888,8
Simson,3465,23
Skenes Creek,3233,66
Skenes Creek North,3233,11
Skibo,3260,6
Skinners Flat,3518,15
Skipton,3361,181
Skye,3977,2924
Slaty Creek,3477,17
Smeaton,3364,69
Smiths Beach,3922,146
Smiths Gully,3760,32
Smokeytown,3364,6
Smoko,3741,8
Smythes Creek,3351,505
Smythesdale,3351,420
Snake Valley,3351,224
Soldiers Hill,3350,2277
Somers,3927,456
Somerton,3062,1880
Somerville,3912,4347
Sorrento,3943,1329
South Dudley,3995,354
South Geelong,3220,2464
South Kingsville,3015,604
South Melbourne,3205,17777
South Morang,3752,8481
South Purrumbete,3260,25
South Wharf,3006,1888
South Yarra,3141,21196
Southbank,3006,25729
Southern Cross,3283,8
Spargo Creek,3461,25
Speed,3488,29
Spotswood,3015,2121
Spring Gully,3550,875
Spring Hill,3444,34
Springbank,3352,44
Springdallah,3351,8
Springfield,3434,59
Springhurst,3682,211
Springmount,3364,24
Springvale,3171,18272
Springvale South,3172,4924
St Albans,3020,2
St Albans,3021,29485
St Albans Park,3219,1547
St Andrews,3761,215
St Andrews Beach,3941,246
St Arnaud,3478,1466
St Arnaud East,3477,37
St Arnaud North,3477,13
St Clair,3995,15
St Germains,3620,37
St Helena,3088,604
St Helens,3285,2
St Helens Plains,3401,33
St James,3727,50
St Kilda,3182,33418
St Kilda East,3183,5404
St Kilda West,3182,2299
St Leonards,3223,1345
Staceys Bridge,3971,19
Staffordshire Reef,3351,29
Staghorn Flat,3691,29
Stanhope,3623,412
Stanley,3747,47
Staughton Vale,3340,26
Stavely,3379,2
Stawell,3380,4855
Steels Creek,3775,31
Steiglitz,3331,32
Stewarton,3725,36
Stockdale,3862,28
Stockyard Hill,3373,24
Stonehaven,3218,33
Stoneleigh,3373,10
Stony Creek,3371,10
Stony Creek,3957,84
Stonyford,3260,29
Stradbroke,3851,75
Strangways,3461,12
Stratford,3862,891
Strath Creek,3658,98
Strathallan,3622,73
Strathbogie,3666,57
Strathdale,3550,2231
Strathdownie,3312,50
Strathewen,3099,39
Strathfieldsaye,3551,1095
Strathkellar,3301,10
Strathlea,3364,7
Strathmerton,3641,467
Strathmore,3041,3075
Strathmore Heights,3041,344
Strathtulloh,3338,1079
Streatham,3351,25
Strzelecki,3950,22
Stuart Mill,3477,33
Sugarloaf,3234,5
Sugarloaf Creek,3658,49
Suggan Buggan,3885,47
Sulky,3352,53
Summerlands,3922,32
Sunbury,3429,19719
Sunday Creek,3658,106
Sunderland Bay,3922,87
Sunset Strip,3922,149
Sunshine,3020,23652
Sunshine North,3020,9417
Sunshine West,3020,9901
Surf Beach,3922,191
Surrey Hills,3127,3234
Sutherland,3477,5
Sutherlands Creek,3331,57
Sutton,3530,1
Sutton Grange,3448,33
Swan Bay,3225,24
Swan Hill,3585,11711
Swan Hill West,3585,3
Swan Island,3225,2
Swan Marsh,3249,44
Swan Reach,3903,232
Swanpool,3673,40
Swanwater,3477,1
Swifts Creek,3896,85
Sydenham,3037,4123
Sylvaterre,3575,4
Tabilk,3607,75
Tabor,3289,7
Taggerty,3714,121
Tahara,3301,8
Tahara Bridge,3315,3
Tahara West,3310,2
Talbot,3371,203
Talgarno,3691,32
Tallandoon,3701,18
Tallangatta,3700,419
Tallangatta East,3700,4
Tallangatta South,3701,14
Tallangatta Valley,3701,20
Tallarook,3659,671
Tallygaroopna,3634,191
Tambo Crossing,3893,2
Tambo Upper,3885,40
Tamboon,3890,14
Tamboritha,3858,1
Taminick,3675,28
Tamleugh,3669,15
